0, F, 0, 8
0, F, 8, 16
0, F, 16, 24
0, F, 24, 32
0, F, 32, 40
0, F, 40, 48
0, F, 48, 56
0, F, 56, 64
0, F, 64, 72
0, F, 72, 80
0, F, 80, 88
0, F, 88, 96
0, F, 96, 104
0, F, 104, 112
0, F, 112, 120
0, F, 120, 128
0, F, 128, 136
0, F, 136, 144
0, F, 144, 152
0, F, 152, 160
0, F, 160, 168
0, F, 168, 176
0, F, 176, 184
0, F, 184, 192
0, B, 234, 244
0, B, 244, 254
0, W, 254, 259
0, W, 259, 264
0, B, 264, 274
0, W, 274, 279
0, B, 282, 292
0, W, 292, 297
0, B, 298, 308
0, W, 308, 313
0, B, 314, 324
0, W, 324, 329
0, B, 330, 340
0, W, 340, 345
0, B, 346, 356
0, W, 356, 361
0, B, 362, 372
0, W, 372, 377
0, B, 378, 388
0, W, 388, 393
0, B, 400, 410
0, W, 410, 415
0, B, 417, 427
0, W, 427, 432
0, B, 434, 444
0, W, 444, 449
0, B, 451, 461
0, W, 461, 466
0, B, 467, 477
0, W, 477, 482
0, B, 483, 493
0, W, 493, 498
0, B, 499, 509
0, W, 509, 514
0, B, 519, 529
0, W, 529, 534
0, B, 536, 546
0, W, 546, 551
0, B, 553, 563
0, W, 563, 568
0, B, 570, 580
0, W, 580, 585
0, B, 587, 597
0, W, 597, 602
0, B, 610, 620
0, W, 620, 625
0, B, 627, 637
0, W, 637, 642
1, F, 8, 17
1, F, 17, 26
1, F, 26, 35
1, F, 35, 44
1, F, 44, 53
1, F, 53, 62
1, F, 62, 71
1, F, 71, 80
1, F, 80, 89
1, F, 89, 98
1, F, 98, 107
1, F, 107, 116
1, F, 116, 125
1, F, 125, 134
1, F, 134, 143
1, F, 143, 152
1, F, 152, 161
1, F, 161, 170
1, F, 170, 179
1, F, 179, 188
1, F, 188, 197
1, F, 197, 206
1, F, 206, 215
1, F, 215, 224
1, B, 224, 234
1, B, 234, 244
1, W, 244, 250
1, B, 250, 260
1, W, 260, 266
1, W, 266, 272
1, B, 272, 282
1, W, 282, 288
1, B, 288, 298
1, W, 298, 304
1, B, 304, 314
1, W, 314, 320
1, B, 320, 330
1, W, 330, 336
1, B, 336, 346
1, W, 346, 352
1, B, 352, 362
1, W, 362, 368
1, B, 368, 378
1, W, 378, 384
1, B, 390, 400
1, W, 400, 406
1, B, 407, 417
1, W, 417, 423
1, B, 424, 434
1, W, 434, 440
1, B, 441, 451
1, W, 451, 457
1, B, 457, 467
1, W, 467, 473
1, B, 473, 483
1, W, 483, 489
1, B, 489, 499
1, W, 499, 505
1, B, 509, 519
1, W, 519, 525
1, B, 526, 536
1, W, 536, 542
1, B, 543, 553
1, W, 553, 559
1, B, 560, 570
1, W, 570, 576
1, B, 577, 587
1, W, 587, 593
1, B, 600, 610
1, W, 610, 616
1, B, 617, 627
1, W, 627, 633
2, F, 17, 26
2, F, 26, 35
2, F, 35, 44
2, F, 44, 53
2, F, 53, 62
2, F, 62, 71
2, F, 71, 80
2, F, 80, 89
2, F, 89, 98
2, F, 98, 107
2, F, 107, 116
2, F, 116, 125
