0, F, 0, 28
0, F, 28, 56
0, F, 56, 84
0, F, 84, 112
0, F, 112, 140
0, F, 140, 168
0, F, 168, 196
0, F, 196, 224
0, F, 224, 252
0, F, 252, 280
0, F, 280, 308
0, F, 308, 336
0, B, 502, 536
0, W, 536, 552
0, B, 583, 617
0, W, 617, 633
0, B, 664, 698
0, W, 698, 714
0, B, 745, 779
0, W, 779, 795
0, B, 795, 829
0, W, 829, 845
0, B, 871, 905
0, W, 905, 921
0, B, 952, 986
0, W, 986, 1002
0, B, 1089, 1123
0, W, 1123, 1139
0, B, 1139, 1173
0, W, 1173, 1189
0, B, 1202, 1236
0, W, 1236, 1252
0, B, 1293, 1327
0, W, 1327, 1343
0, B, 1384, 1418
0, W, 1418, 1434
1, F, 88, 124
1, F, 124, 160
1, F, 160, 196
1, F, 196, 232
1, F, 232, 268
1, F, 268, 304
1, F, 304, 340
1, B, 397, 442
1, F, 442, 478
1, B, 478, 523
1, F, 523, 559
1, B, 559, 604
1, F, 604, 640
1, B, 640, 685
1, B, 685, 730
1, F, 730, 766
1, B, 766, 811
1, F, 811, 847
1, B, 847, 892
1, W, 892, 915
1, W, 915, 938
1, W, 938, 961
1, W, 961, 984
1, B, 984, 1029
1, B, 1029, 1074
1, W, 1074, 1097
1, B, 1097, 1142
1, W, 1142, 1165
1, W, 1165, 1188
1, B, 1188, 1233
1, W, 1233, 1256
1, W, 1256, 1279
1, B, 1279, 1324
1, W, 1324, 1347
1, W, 1347, 1370
1, W, 1370, 1393
2, F, 184, 220
2, F, 220, 256
2, F, 256, 292
2, B, 292, 337
2, F, 337, 373
2, B, 373, 418
2, F, 418, 454
2, B, 454, 499
2, F, 499, 535
2, B, 535, 580
2, B, 580, 625
2, F, 625, 661
2, B, 661, 706
2, F, 706, 742
2, B, 742, 787
2, F, 787, 823
2, F, 823, 859
2, B, 859, 904
2, B, 904, 949
2, F, 949, 985
2, B, 985, 1030
2, F, 1030, 1066
2, B, 1066, 1111
2, W, 1111, 1134
2, W, 1134, 1157
2, B, 1157, 1202
2, W, 1202, 1225
2, W, 1225, 1248
2, W, 1248, 1271
2, W, 1271, 1294
2, W, 1294, 1317
2, W, 1317, 1340
2, W, 1340, 1363
2, W, 1363, 1386
2, W, 1386, 1409
2, W, 1409, 1432
3, F, 220, 253
3, B, 253, 291
3, F, 291, 324
3, B, 324, 362
3, F, 362, 395
3, B, 395, 433
3, F, 433, 466
3, B, 466, 504
3, F, 504, 537
3, B, 537, 575
3, F, 575, 608
3, B, 608, 646
3, W, 646, 666
3, F, 666, 699
3, B, 699, 737
3, W, 737, 757
3, F, 757, 790
3, B, 790, 828
3, F, 828, 861
3, B, 861, 899
3, F, 899, 932
3, B, 932, 970
3, W, 970, 990
3, F, 990, 1023
3, B, 1023, 1061
3, W, 1061, 1081
3, F, 1081, 1114
3, B, 1114, 1152
3, W, 1152, 1172
3, W, 1172, 1192
3, W, 1192, 1212
3, W, 1212, 1232
3, W, 1232, 1252
3, W, 1252, 1272
3, W, 1272, 1292
3, W, 1292, 1312
