0, F, 0, 28
0, F, 28, 56
0, F, 56, 84
0, F, 84, 112
0, F, 112, 140
0, F, 140, 168
0, F, 168, 196
0, F, 196, 224
0, F, 224, 252
0, B, 383, 417
0, F, 417, 445
0, F, 445, 473
0, F, 473, 501
0, B, 501, 535
0, W, 535, 551
0, W, 551, 567
0, B, 581, 615
0, W, 615, 631
0, B, 662, 696
0, W, 696, 712
0, B, 712, 746
0, W, 746, 762
0, B, 788, 822
0, W, 822, 838
0, B, 857, 891
0, W, 891, 907
0, B, 926, 960
0, W, 960, 976
0, B, 976, 1010
0, W, 1010, 1026
0, B, 1064, 1098
0, W, 1098, 1114
0, B, 1157, 1191
0, W, 1191, 1207
0, B, 1274, 1308
0, W, 1308, 1324
1, F, 28, 64
1, F, 64, 100
1, F, 100, 136
1, F, 136, 172
1, F, 172, 208
1, F, 208, 244
1, F, 244, 280
1, B, 338, 383
1, F, 383, 419
1, F, 419, 455
1, B, 455, 500
1, F, 500, 536
1, B, 536, 581
1, F, 581, 617
1, B, 617, 662
1, B, 662, 707
1, F, 707, 743
1, B, 743, 788
1, W, 788, 812
1, B, 812, 857
1, W, 857, 881
1, B, 881, 926
1, B, 926, 971
1, W, 971, 995
1, W, 995, 1019
1, B, 1019, 1064
1, W, 1064, 1088
1, W, 1088, 1112
1, B, 1112, 1157
1, W, 1157, 1181
1, W, 1181, 1205
1, W, 1205, 1229
1, B, 1229, 1274
1, W, 1274, 1298
1, W, 1298, 1322
1, W, 1322, 1346
2, F, 64, 100
2, F, 100, 136
2, F, 136, 172
2, F, 172, 208
2, F, 208, 244
2, B, 292, 338
2, F, 338, 374
2, B, 374, 420
2, F, 420, 456
2, B, 456, 502
2, F, 502, 538
2, B, 538, 584
2, B, 584, 630
2, F, 630, 666
2, B, 666, 712
2, F, 712, 748
2, B, 748, 794
2, F, 794, 830
2, B, 830, 876
2, B, 876, 922
2, F, 922, 958
2, B, 958, 1004
2, W, 1004, 1027
2, W, 1027, 1050
2, B, 1050, 1096
2, W, 1096, 1119
2, W, 1119, 1142
2, W, 1142, 1165
2, B, 1165, 1211
2, W, 1211, 1234
2, W, 1234, 1257
2, W, 1257, 1280
2, W, 1280, 1303
2, W, 1303, 1326
2, W, 1326, 1349
2, W, 1349, 1372
3, F, 160, 193
3, B, 193, 232
3, F, 232, 265
3, B, 265, 304
3, F, 304, 337
3, B, 337, 376
3, F, 376, 409
3, B, 409, 448
3, F, 448, 481
3, B, 481, 520
3, F, 520, 553
3, B, 553, 592
3, F, 592, 625
3, B, 625, 664
3, F, 664, 697
3, B, 697, 736
3, F, 736, 769
3, B, 769, 808
3, F, 808, 841
3, B, 841, 880
3, W, 880, 900
3, F, 900, 933
3, B, 933, 972
3, W, 972, 992
3, W, 992, 1012
3, W, 1012, 1032
3, F, 1032, 1065
3, B, 1065, 1104
3, W, 1104, 1124
3, W, 1124, 1144
3, W, 1144, 1164
3, W, 1164, 1184
3, W, 1184, 1204
3, W, 1204, 1224
3, W, 1224, 1244
3, W, 1244, 1264
